Country,Data source,Sector,Gas,Unit,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
European Union (27),CAIT,Total excluding LUCF,All GHG,MtCO₂e,3567.08,3635.65,3622.33,3621.54,3565.62,3711.45,3788.2,3849.51,3960.8,3881.38,4155.66,4247.19,4283.3,4288.33,4320.12,4323.46,4235.72,4254.85,4208.97,4210.42,4283.83,4324.38,4402.31,4294.73,4244.36,4260.96,4334.12,4478.18,4555.23
European Union (27),CAIT,Total including LUCF,All GHG,MtCO₂e,3333.16,3401.95,3387.97,3046.38,2990.49,3136.34,3213.21,3274.4,3646.5,3566.88,3841.03,3932.66,3968.63,3973.71,4005.19,4008.81,3921.02,3940.21,3933.88,3934.85,4008.29,4048.58,4126.4,4018.79,3968.32,3984.95,4058.11,4202.13,4279.18
European Union (27),CAIT,Energy,All GHG,MtCO₂e,2902.77,2958.65,2938.57,2932.86,2873.12,3025.05,3097.78,3152.14,3251.96,3162.75,3401.18,3471.05,3518.91,3517.48,3540.02,3546.08,3454.87,3468.19,3409.37,3407.89,3466.85,3484.28,3559.99,3460.3,3410.58,3433.44,3489.25,3616.36,3660.7
European Union (27),CAIT,Electricity/Heat,All GHG,MtCO₂e,1108.45,1161.54,1158.37,1181.42,1158.16,1226.9,1294.02,1314.33,1330.92,1292.7,1405.84,1481.34,1455.83,1442.58,1449.35,1450.35,1405.6,1381.64,1364.21,1345.76,1381.99,1380.96,1420.27,1392.4,1377.23,1376.32,1425.76,1456.81,1465.11
European Union (27),CAIT,Transportation,All GHG,MtCO₂e,807.16,806.76,792.25,773.05,758.68,751.42,757.98,788.52,794.13,800.13,826.78,843.56,834.69,822.93,824.51,805.01,790.84,782.75,768.34,768.71,750.78,721.41,709.99,687.32,678.76,674.19,669.05,651.17,642.96
Germany,CAIT,Total excluding LUCF,All GHG,MtCO₂e,806.09,832.65,850.17,847.46,843.66,883.92,866.67,852.55,881.3,850.64,907.8,905.13,934.2,927.71,952.11,971.9,972.93,991.32,975.83,985.18,1019.61,1045.89,1083.88,1055.73,1062.35,1075.23,1082.93,1130.62,1160.21
Germany,CAIT,Total including LUCF,All GHG,MtCO₂e,776.61,803.18,820.7,818.22,814.43,854.7,837.46,823.34,862.97,832.31,889.47,886.8,915.88,909.39,933.79,953.66,954.76,973.21,924.72,934.16,968.6,994.92,1032.92,1004.79,1011.41,1024.31,1032.01,1079.69,1109.28
Germany,CAIT,Energy,All GHG,MtCO₂e,713.82,736.52,752.24,747.68,741.94,783.39,765.4,750.41,777.87,738.57,793.88,787.18,819.76,809.48,829.55,849.37,848.59,864.61,848.46,853.25,881.89,892.95,925.96,896.73,900.31,915.85,920.89,964.7,989.06
European Union (27),CAIT,Building,All GHG,MtCO₂e,435.04,453.37,458.0,447.91,422.84,495.53,485.49,473.55,541.01,514.41,526.41,484.56,560.78,563.24,563.34,566.83,539.09,561.28,524.57,549.71,559.47,571.83,612.05,561.26,549.79,590.21,584.43,628.63,600.12
France,CAIT,Total excluding LUCF,All GHG,MtCO₂e,423.35,432.38,430.02,430.14,424.13,457.25,456.32,453.51,470.79,467.05,485.35,491.62,498.79,509.07,508.44,510.7,505.83,513.38,508.56,511.48,521.88,505.84,515.77,497.01,488.27,494.01,512.8,527.54,502.75
Italy,CAIT,Total excluding LUCF,All GHG,MtCO₂e,399.6,405.77,411.45,416.15,405.24,424.93,456.71,474.59,485.46,476.97,525.85,540.72,547.47,559.87,558.59,547.47,528.94,520.66,522.47,517.56,510.33,499.04,495.26,499.02,474.03,479.32,485.62,488.85,491.25
Poland,CAIT,Total excluding LUCF,All GHG,MtCO₂e,389.65,390.07,377.19,366.25,362.36,375.43,380.78,387.76,391.92,373.95,389.77,396.05,396.05,382.22,380.59,376.24,364.32,372.09,372.23,385.65,396.32,426.14,436.36,421.65,422.11,426.79,427.3,438.09,442.31
European Union (27),CAIT,Agriculture,All GHG,MtCO₂e,389.55,394.07,394.81,396.18,392.8,388.62,385.73,386.19,392.76,391.78,398.94,403.03,398.0,402.21,409.51,410.54,415.63,418.25,424.73,429.82,432.53,437.27,438.76,435.46,442.72,448.2,463.83,489.54,512.18
Italy,CAIT,Total including LUCF,All GHG,MtCO₂e,386.78,393.01,398.64,381.49,370.58,390.27,422.08,439.93,450.75,442.26,491.14,506.06,512.76,525.16,523.88,512.77,494.23,485.95,488.0,483.07,475.84,464.54,460.76,464.51,439.52,444.81,451.12,454.34,456.75
European Union (27),CAIT,Manufacturing/Construction,All GHG,MtCO₂e,378.83,371.14,364.54,363.23,364.62,375.84,382.68,397.24,401.76,375.28,452.94,471.87,470.59,485.33,497.34,511.91,500.27,514.23,522.09,508.51,533.34,560.12,560.9,563.7,547.83,531.91,550.81,605.97,669.72
